CycID	BH.Q	ADJ.P	PER	LAG	AMP
AGAP005609-RA	0.000411125890324612	3.08724888556821e-05	24	12	492.986935920113
AGAP005610-RA	0.000411125890324612	3.08724888556821e-05	24	16	38.8684256971301
AGAP005617-RA	0.022880709322003	0.0135517686095417	16	4	143.408923195026
AGAP005617-RB	0.00515349946420471	0.00164606751791626	24	18	644.220311765978
AGAP005618-RA	0.022880709322003	0.0135517686095417	20	2	65.7476205810094
AGAP005630-RA	0.197557720419395	0.178334758728666	20	2	127.190200028018
AGAP005639-RA	0.0300039486594873	0.019611253592346	24	14	88.157143638887
AGAP005641-RA	0.00946299016075351	0.0040484183183763	24	8	288.13048943758
AGAP005644-RA	0.090493406813153	0.0746056167222134	24	20	89.2622373854422
AGAP005645-RA	0.00126918809481835	0.000204707757228766	24	16	702.374492591115
AGAP005653-RA	0.0300039486594873	0.019611253592346	24	18	25.5868691894987
AGAP005655-RA	0.000124057694793436	3.08340119264489e-06	24	4	1383.70383289726
AGAP005656-RA	0.00703610430984441	0.00260830730893756	24	6	41.0993443270049
AGAP005673-RA	0.0170041501454752	0.00921695076632051	20	0	13.6827744634393
AGAP005680-RA	0.0691577311827721	0.0544923423915021	24	16	56.2042033788511
AGAP005711-RA	0.0521091498320216	0.0392954244634917	24	4	437.335720176507
AGAP005712-RB	0.00892756607180888	0.00332836281365693	24	16	68.2986518565847
AGAP005715-RB	0.0399307547884998	0.0279578632152162	20	0	65.4827514434964
AGAP005721-RA	0.0170041501454752	0.00921695076632051	24	16	318.766619104901
AGAP005724-RA	0.00257170139228963	0.000611986053162524	24	6	57.3968816876934
AGAP005729-RA	0.090493406813153	0.0746056167222134	20	12	47.9389017890059
AGAP005742-RA	0.117784403361405	0.100904671309083	24	18	9.21380547899334
AGAP005743-RA	0.00946299016075351	0.0040484183183763	20	0	15.6506730914242
AGAP005744-RA	0.00703610430984441	0.00260830730893756	20	4	48.5092798546041
AGAP005749-RA	0.0128649728022085	0.00616375746102637	20	4	173.815481130421
AGAP005750-RA	0.0170041501454752	0.00921695076632051	24	16	178.961464834538
AGAP005752-RA	0.000602902518168625	6.02583690818985e-05	24	16	758.350834472768
AGAP005753-RA	0.00257170139228963	0.000611986053162524	20	14	216.94837901726
AGAP005762-RB	0.0521091498320216	0.0392954244634917	24	14	27.040547619917
AGAP005763-RA	0.0521091498320216	0.0392954244634917	24	16	22.6783386679251
AGAP005778-RA	0.00515349946420471	0.00164606751791626	20	4	20.2682059243657
AGAP005783-RA	0.0128649728022085	0.00616375746102637	16	12	82.1940372900431
AGAP005797-RA	0.0170041501454752	0.00921695076632051	20	2	24.1318612396194
AGAP005824-RA	0.153388408645714	0.134894195440414	24	6	42.0572972248308
AGAP005834-RA	0.117784403361405	0.100904671309083	24	12	10.8997942680905
AGAP005838-RA	0.631227744328176	0.618543104304659	8	4	72.7580244142393
AGAP005847-RA	0.00946299016075351	0.0040484183183763	24	0	102.826521108547
AGAP005861-RA	0.00185528640360573	0.000359087691020464	24	6	239.41631769902
AGAP005861-RB	0.0300039486594873	0.019611253592346	20	8	146.09087967808
AGAP005889-RA	0.0521091498320216	0.0392954244634917	20	8	285.484902161131
AGAP005901-RB	0.022880709322003	0.0135517686095417	24	16	16.709182229915
AGAP005914-RA	0.000297895181528322	1.51231821399889e-05	24	2	3209.72038604092
AGAP005917-RA	0.0170041501454752	0.00921695076632051	16	6	15.8000607194893
AGAP005933-RA	0.252631542301635	0.233260006799923	16	4	68.1532443751686
AGAP005934-RA	0.0691577311827721	0.0544923423915021	20	6	98.0568909562454
AGAP005935-RA	0.00946299016075351	0.0040484183183763	24	6	115.637092321547
AGAP005944-RA	0.00185528640360573	0.000359087691020464	24	6	21.2351385802067
AGAP005948-RA	0.000602902518168625	6.02583690818985e-05	20	8	191.969495742927
AGAP005949-RB	0.117784403361405	0.100904671309083	24	12	18.8608836476108
AGAP005952-RA	0.0521091498320216	0.0392954244634917	24	8	15.8438218684034
AGAP005971-RA	0.00126918809481835	0.000204707757228766	24	16	302.972044033907
AGAP005977-RA	0.000872511020963259	0.000113043469135906	24	2	282.143759417047
AGAP005978-RB	0.00257170139228963	0.000611986053162524	20	2	39.4062399986359
AGAP005982-RA	0.0300039486594873	0.019611253592346	24	6	136.633010030384
AGAP005990-RA	0.0037014243629462	0.00101588537512907	24	8	38.8842421677628
AGAP005995-RA	0.00946299016075351	0.0040484183183763	24	18	41.6357346431678
AGAP005998-RA	0.00515349946420471	0.00164606751791626	24	22	69.4842667391129
AGAP006000-RA	0.000872511020963259	0.000113043469135906	20	0	4.29680496066488
AGAP006001-RA	4.23645149035305e-05	4.70467907442697e-07	20	0	148.076303575573
AGAP006009-RA	0.0691577311827721	0.0544923423915021	24	14	6.35004994185735
AGAP006032-RA	0.0170041501454752	0.00921695076632051	24	20	1362.58646295977
AGAP006042-RB	0.321001191624934	0.301988958170681	24	16	54.8151158676171
AGAP006063-RA	0.0300039486594873	0.019611253592346	24	6	958.976674554427
AGAP006082-RA	0.197557720419395	0.178334758728666	20	10	22.6404748571369
AGAP006090-RA	0.00126918809481835	0.000204707757228766	20	18	51.9769347162785
AGAP006101-RA	0.000124057694793436	3.08340119264489e-06	24	8	803.67486565827
AGAP006115-RA	0.000411125890324612	3.08724888556821e-05	24	18	1666.77700206202
AGAP006116-RA	0.117784403361405	0.100904671309083	24	16	41.6114925161006
AGAP006119-RA	0.00703610430984441	0.00260830730893756	24	4	34.183893196153
AGAP006120-RA	0.321001191624934	0.301988958170681	24	2	25.4427443547861
