id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP004784-RA	43.100171426555	38.013221802334	25.1859212452285	44.3842157568549	47.6294151477363	36.7469582047197	22.3296911203428	39.1256540821549	21.0747440517048	75.0231569014784	52.9562418817105	101.322308397573	25.9151926646116	78.0668608686454	31.7614806708437	51.9981502307028	75.886772375429	43.9030329959783	67.6929327053956	44.8514874597292	75.6953160633809	64.5779597323553	64.0922014665605	82.8591673518774	65.5491626072727	94.2127435933603	96.6931570256945	177.898218545915	180.313800863672	69.0650345368612	85.9126653736742	72.6501325261923	86.5231921863543	45.3815147677924	83.2293891984212
AGAP004785-RA	30.4236504187447	56.0194847613342	34.1228610419224	47.9829359533567	23.8147075738681	61.8017024352105	14.1029628128481	24.8981435068258	29.8558874065818	43.1383152183501	35.3041612544737	45.9606347370434	42.6346718030706	41.1320019630497	21.4604599127322	34.4213107160991	78.0244279353003	60.3666703694702	50.5313441321968	51.4151197709091	121.95356476878	50.6493801822395	87.7051177963459	53.3981300712099	40.786145622303	61.9820681535265	88.5600877431594	35.579643709183	70.1892647657248	56.8770872656504	69.2844075594147	73.4398078797379	82.634509391462	33.3415210538883	60.8995530720155
AGAP004787-RA	11.4088689070293	34.0118300336672	20.3112268106681	11.9957339883392	28.9178591968399	19.2086372433762	18.8039504171308	14.227510575329	16.6841723742663	15.0046313802957	15.6907383353216	14.6238383254229	4.17986978461477	22.6645725102519	10.3010207581115	24.9005226456887	89.7815335145921	34.7565677884829	78.180570166795	78.7635877341586	171.576049743663	103.831229373591	173.161386418427	85.62113959694	91.7688276501817	123.964136307053	172.601803662688	62.2643764910702	73.8197439777451	97.5035781696865	65.5892391562459	105.026822021561	60.2745833208311	27.7846008782402	89.3193445056227
AGAP004790-RA	1280.32862178884	1034.35977220035	1457.53363593354	2058.467952399	2190.95309679587	1768.86494267265	1860.41584439488	1155.98523424548	1624.51152065225	1814.62260755451	1096.3903411806	2074.49592244928	1681.14362737206	1096.293766607	1084.18243479123	1438.37136694508	2656.03703314002	1714.04757988465	3812.73292801236	1481.19302488959	5482.86406019089	4297.59990846302	2941.49471993899	4704.5593907566	2908.92617170497	2191.6859299087	4754.2308328241	4971.26688492196	5152.86016159408	4684.23440123535	2152.43559484582	3018.92887660471	4214.35997896456	1504.99921423801	3275.38096272323
AGAP004795-RA	550.161011738967	623.216767969844	485.032096238755	538.608456076429	578.357183936797	409.227489098015	542.964068294652	555.762131848791	593.605290789686	621.754412821002	655.088325499678	411.556592872616	417.151004504554	573.329741648224	672.141604466774	468.715720389434	549.377478886909	500.311646850003	434.760243854372	485.708791027311	280.072669434509	483.701580740387	457.640806962984	435.470957304867	444.277657671515	596.680709424615	431.052671974358	436.838958873858	448.969262553171	427.593816764979	584.76039980146	572.514631320537	425.81076604071	505.679735983972	474.001521410521
AGAP004800-RA	351.139631916345	290.100903228338	339.603712274371	301.092923107313	357.220613608022	262.239656279136	310.265181882658	430.382194903704	357.392534543494	391.058205348956	392.268458383041	372.907877298284	446.410092996857	413.83830546497	305.596949157307	415.985201845623	262.931633864163	340.248505718832	220.240386689386	300.833147595745	183.350876686856	243.117024874749	269.861900911834	200.703316474548	396.208271759515	308.257485616872	340.685235501746	262.894034073408	323.112649869802	427.593816764979	374.135800820839	356.143584449052	294.567721713094	358.421351329299	281.152936682471
AGAP004801-RB	2276.70317300273	2332.8114011327	2664.02050848723	1429.89149141003	1724.86524856445	1518.31750036774	1709.98424105783	2229.27306327187	1696.51689616224	1719.90587196639	1729.90390146921	1188.7091438808	2507.92187076886	2685.3321281591	3144.38658641353	2894.31957340475	2377.07298257682	2732.96380399965	1926.86502813528	2158.34109165965	1817.52864458851	1386.52678248881	1614.67370712247	1515.40210512434	1765.45744622254	2114.00173782294	1510.03986345734	1425.16239524005	1354.16874608355	1936.86795384992	2951.51576203106	2508.79859821427	1809.20967032366	2324.6449401461	1868.60128675968
AGAP004802-RA	32.9589546203068	55.0191368191676	69.0581711562716	53.9808029475263	136.084043279246	87.6916048067175	10.5772221096361	35.5687764383226	25.4653157291433	37.5115784507392	48.0528861519225	53.2725538997548	23.4072707938427	56.2417169698843	31.7614806708437	55.6599917962453	114.364572453111	57.6227308072216	70.5531974675955	68.9181392673888	238.019716065964	51.9156146867955	248.497833756313	145.463871573296	18.9364247532121	58.6763578520051	75.9086466369938	181.85151229138	114.965175047308	103.597551805292	124.711933606946	84.4952628293759	104.02226476337	49.0861282182244	71.0494785840181
AGAP004805-RB	306.771808389009	320.111341493339	342.041059491651	297.494202910811	318.096451165239	266.415446984218	263.255305839831	294.33162502712	259.921843304359	340.417574440458	312.834095560475	288.298526986908	295.934780750726	250.149726224262	280.702815658538	335.424687403689	278.964050563197	286.284360994609	222.147229864186	273.484679632495	279.231610367138	235.519617847414	251.871107517711	296.451687636717	262.196650429091	230.573293531119	245.799427205504	205.571274764168	198.466196923774	352.434808592513	255.890411919438	220.319423639214	252.764381668001	321.375216824979	215.178420854455
AGAP004819-RB	16.4794773101534	21.0073067855003	38.9975554764828	34.7876285661836	37.4231119017928	55.1204373070796	43.484135339615	69.3591140547291	30.7340017420695	0	56.8789264655409	51.1834341389801	30.0950624492263	26.861715567706	33.4783174638623	18.3092078277123	47.0284223171673	21.9515164979892	54.3450304817965	64.5423843932688	79.9006114002353	89.9026498234751	66.3410506408257	64.4460190514602	71.3757548390302	84.295612688796	141.876875262	38.5446140182816	90.7619803005063	100.550564987489	48.9609813419864	60.8050022230088	33.0538037565848	33.3415210538883	52.7796126624134
