id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AGAP004865-RA	832.676071153737	0.570851987751367	0.0758951623421563	7.52158596325032	5.41157275678587e-14	3.83847461232657e-12
AGAP005054-RB	3.95910900339512	-22.32114156751	2.96813698114177	-7.52025317878813	5.46702703133738e-14	3.85729129433248e-12
AGAP000855-RA	639.22491390702	-0.599677589302579	0.0798553485375693	-7.50954820540856	5.93317683140825e-14	4.16415331825416e-12
AGAP000108-RA	598.481098769046	-0.896472119883923	0.119458128213295	-7.50448825284834	6.16690406404566e-14	4.30553223529051e-12
AGAP004237-RA	227.182960548763	-1.34857664808788	0.180146530038614	-7.48599846912852	7.1005223265895e-14	4.93153464713912e-12
AGAP000549-RA	350.183448903674	-0.847696814272893	0.113278863471789	-7.4832743575681	7.24933200797578e-14	5.00880012053663e-12
AGAP007380-RA	1078.2085902697	-0.719243592609496	0.0961656497040975	-7.47921523769261	7.47677326538816e-14	5.1393181182449e-12
AGAP004046-RA	199.53409695011	-1.6986422796139	0.227451428168572	-7.46815394078327	8.13276695474368e-14	5.56156140212856e-12
AGAP006366-RC	1763.44130134008	-1.6696005757005	0.223988513906138	-7.45395621670201	9.05820693966952e-14	6.1628157928823e-12
AGAP000574-RA	456.59734691218	0.681145523203229	0.0915094551180799	7.44344420283465	9.80935453462294e-14	6.63998694006076e-12
AGAP029659-RA	946.53672351857	0.770066614828169	0.103580623035216	7.43446594800222	1.04991269184669e-13	7.07100290190686e-12
AGAP011356-RA	1103.43209661912	-0.917944088647306	0.123517409200503	-7.43169804636386	1.07212324820614e-13	7.18430327378333e-12
AGAP010716-RA	1083.13370685577	-0.716843175970559	0.0964942373561889	-7.42887032025009	1.09529060585253e-13	7.30285011452177e-12
AGAP000655-RA	857.133724585229	-0.750981648195723	0.10111932973767	-7.4266873617929	1.11351128933713e-13	7.38739952403511e-12
AGAP002167-RB	7.16320508598946	21.9244911347186	2.95697510002576	7.41449974824866	1.22084741194982e-13	8.02565005382972e-12
AGAP006819-RA	222.094254507654	1.14671342026562	0.154660280621724	7.41440152349338	1.22175250163287e-13	8.02565005382972e-12
AGAP006467-RA	3479.74780582017	-1.08507482515904	0.146506273849179	-7.40633692094355	1.29835727398833e-13	8.48705600423255e-12
AGAP006251-RA	1110.82601283652	0.259193261164041	0.0350351748181287	7.39808670884449	1.3816063012715e-13	8.98718050119779e-12
AGAP010562-RA	93.9057426035624	-1.83313319069252	0.248013458213107	-7.39126498981111	1.45438439363918e-13	9.41466790736817e-12
AGAP009217-RA	227.644712816251	-2.7513311506384	0.372451093421171	-7.38709376677054	1.50072770894641e-13	9.66773140038663e-12
AGAP013226-RA	378.959269477769	-0.999918988803773	0.135376319513046	-7.38621785848902	1.51064203340534e-13	9.68481322858665e-12
AGAP012106-RA	2386.14815318095	-0.744087761385207	0.100882105203132	-7.37581516451251	1.63342501495063e-13	1.03722488449365e-11
AGAP009128-RA	271.90063144346	-1.74751584723481	0.236920185178043	-7.37596860276624	1.63154464729284e-13	1.03722488449365e-11
AGAP007574-RA	688.783923443236	-0.701079396368593	0.0952324245831413	-7.36177199559301	1.81484767457447e-13	1.14696652798344e-11
AGAP012186-RA	1874.16791581634	-0.731974962835397	0.0994463206654981	-7.36050321356282	1.83218223837634e-13	1.15245991267682e-11
