id	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP010200-RA	96.8835784668041	87.5513007835852	114.44803708542	109.19319245764	100.285474180669	152.919830406853	121.357711723713	97.6699253117982	103.10376775586	102.598350441116	97.3382236907779	128.718016743136	88.3879371273198	86.85533573068	119.715373151457	112.76591860411	107.56699010512
AGAP010201-RA	719.57220900102	880.984964134827	644.696496675421	776.903288865278	757.712471587278	506.091819679821	869.730267353273	1000.30281840167	739.201589164898	893.379976010854	1006.61967914365	703.458928712489	992.314057027333	922.062448069451	776.219032369126	898.518839437547	794.186188626584
AGAP010202-RA	357.43456133384	500.136805726231	279.944838913976	396.609756512808	317.570668238786	356.812937615989	459.425622954055	472.071305673691	380.959684250467	367.805407241738	465.324191302255	379.169351646448	519.393032603838	477.70434651874	558.993556892692	458.280693207102	428.257362474589
AGAP010203-RA	758.137516934409	782.489750753293	627.405786036617	504.547854804268	471.341728649145	574.359601111452	527.328152132799	515.208856019735	551.343029270745	735.610814483476	483.129963928617	793.262196207701	760.865231972289	638.231618806693	849.592970752277	722.604006415136	636.354249874213
AGAP010204-RA	722.394060801025	678.522581072786	731.150049869443	736.740275547526	640.712751709831	721.818009003774	667.467414480419	730.896607749956	553.090550758133	566.226745358992	517.554457672916	723.415210378092	764.510095358983	580.845057698922	746.290189081262	737.940171345295	771.064312248848
AGAP010205-RA	705.462950001001	790.150489571857	947.695616441137	623.781800591346	381.084801886543	646.268330886103	505.657132182136	410.213686309552	466.588237132453	189.710157419423	99.7123267076261	415.090658644533	343.528374195872	254.362054639849	450.863542433311	572.850866508878	546.882641282104
AGAP010206-RA	806.108997534477	961.969917359643	687.511589685794	829.617243844829	732.083961518885	824.674799694097	988.198509750231	1169.59735560878	858.906811050939	997.914144384821	703.921544495503	855.126669371069	1047.89822367441	974.020550694054	922.001462577756	1016.69752213465	866.567714678628
AGAP010209-RA	289.710118133744	274.692206208499	251.950355022578	185.753936594606	191.656683989723	239.392353553585	222.48913816014	270.220126695975	273.487112776138	286.501054061986	365.611864594629	253.444777153152	310.72460371563	231.097232569131	248.119765321972	206.587162882729	203.070392534899
AGAP010210-RA	330.156660600468	261.559511090961	427.327562930452	409.160698174605	294.170724263296	379.568864759866	348.181053873985	295.451524068189	313.68010698605	337.800229282544	461.763036776983	355.221813647725	351.729316815933	276.851382641542	419.0038060301	357.24243013782	358.891733341381
AGAP010211-RA	116.636541066832	130.232559915583	130.915380550948	143.080734944494	123.685418156159	144.727696635057	145.918201001131	137.551811480782	111.841375192798	204.228791915807	167.374262687801	149.672112492019	163.107636554539	114.773122215541	196.951097765301	157.872286045754	173.916722319493
