id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2
AGAP009954-RA	552.298989042446	506.382132671632	585.654209468255	547.983741446474	391.7162015302	489.998248814258	542.962083458813	516.655946780886	490.105961743633	548.642248584604	475.343568515975	441.300293873284	524.272570429614	458.093229039055	465.807540803999	597.862777677761	433.806751837041	454.459143939308
AGAP009955-RA	32.1104063396771	29.2531510905923	9.88445923153173	25.5725746008355	12.0263746083833	53.6984382262201	28.5144201378807	21.8305329625727	46.9721807819395	39.6608854398509	12.9007649075317	60.3216229035424	19.543385931736	30.8826895981386	18.2499223076194	18.7065950462378	90.2405022618406	57.0373824377269
AGAP009956-RA	471.38076506646	415.596491356001	423.384337083942	505.362783778415	493.081358943716	370.854838999833	434.844907102681	443.887503572311	383.753854312827	492.928147609576	494.198532611599	366.162833765363	533.619407179575	419.489867041382	369.34366574944	437.734324081965	465.336565880335	503.216906345752
AGAP009957-RA	100.184467779793	157.361778280427	157.327642768547	104.72578169866	132.290120692217	125.016676495419	137.81969733309	183.740319101653	174.594709698907	186.972745645011	166.717577266563	113.235327204895	99.4163545223093	123.530758392554	177.284959559731	105.505196060781	136.991605843276	118.674553781722
AGAP009958-RA	1053.22132794141	1259.90295559137	991.740742897017	1044.82233369128	1384.75113347957	974.123230947524	989.687998952278	1132.45889743346	1153.03409806233	1196.43671076884	1283.12992503373	868.843024628216	972.920734427728	1158.1008599302	1257.50655138692	775.949562517945	949.156126199842	937.43697909748
AGAP009959-RA	12.8441625358708	11.096022827466	14.8266888472976	4.87096659063533	6.87221406193333	19.2978762375479	16.6334117470971	0.909605540107194	2.65880268577016	2.83292038856078	3.96946612539437	22.2237558065683	11.8959740454045	10.2942298660462	4.34521959705223	5.9861104147961	3.26170490103038	0.91995778125366
AGAP009960-RA	0	5.04364673975729	2.47111480788293	1.21774164765883	5.15416054645	6.71230477827751	7.12860503447019	0	0.886267561923387	0	2.97709959404578	0	12.7456864772191	3.43140995534873	1.73808783882089	0	3.26170490103038	0
AGAP009961-RA	2478.92336942307	2002.32775568364	2345.0879526809	2663.20098342987	2073.69059318838	2133.67388139496	2523.52618220245	2379.52809292042	2420.39671161277	3358.8992740369	3243.0538244472	2412.8649161417	2125.98050440015	2221.8379460883	2088.3125383433	2301.6594544891	2058.13579255017	2221.69804172759
AGAP009964-RA	417.435282415802	372.221129394088	378.90427054205	400.637002079756	328.148221457316	409.450591474928	440.785411298073	400.226437647165	506.945045420177	629.85263305668	520.992428958011	393.677960002066	446.09902670267	421.205572019057	416.272037397604	460.18223813745	258.761922148411	430.540241626713
AGAP009965-RA	381.471627315364	390.378257657214	425.031746955864	389.677327250826	359.073184736016	440.495001074462	490.685646539364	412.051309668559	536.191874963649	600.579122374885	457.480970951701	461.407501507798	449.497876429928	422.063424507894	531.854878679193	589.631875857416	394.666293024677	536.335386470884
AGAP009966-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP009967-RA	55.2298989042446	42.3666326139612	32.9481974384391	71.8467572118711	54.9777124954666	46.9861334479426	29.7025209769591	38.2034326845022	15.952816114621	38.716578643664	28.7786294091092	30.6899484947847	53.5318832043204	48.0397393748822	25.2022736629029	60.6093679498105	69.5830378886482	77.2764536253075
AGAP009968-RA	88.6247214975088	71.6197837045535	64.2489850049562	60.8870823829416	58.4138195264333	58.7326668099282	58.2169411148399	66.4012044278252	34.5644349150121	36.8279650512901	27.7862628777606	30.6899484947847	57.7804453633934	69.4860515958118	71.2616013916566	96.5260304385872	71.7575078226685	66.2369602502636
AGAP009969-RA	73.2117264544638	27.2356923946894	51.0697060295806	52.3628908493298	46.38744491805	35.2396000859569	24.9501176206457	30.9265883636446	18.6116188003911	19.8304427199255	14.8854979702289	24.3403039786224	46.7341837498035	36.8876570199988	31.2855810987761	55.3715213368639	56.5362182845267	54.277509093966
